ID,Food Item,Category,Storage Type,Dietary Notes
1336,"Vanilla Extract, family-size package",Baking Supplies,Shelf-stable,Check package for allergens
1337,"Vanilla Extract, organic",Baking Supplies,Shelf-stable,Check package for allergens
1338,"Vanilla Extract, gluten-free labeled",Baking Supplies,Shelf-stable,Check package for allergens
1339,"Cocoa Powder, standard package",Baking Supplies,Shelf-stable,Check package for allergens
1340,"Cocoa Powder, small package",Baking Supplies,Shelf-stable,Check package for allergens
1341,"Cocoa Powder, family-size package",Baking Supplies,Shelf-stable,Check package for allergens
1342,"Cocoa Powder, organic",Baking Supplies,Shelf-stable,Check package for allergens
1343,"Cocoa Powder, gluten-free labeled",Baking Supplies,Shelf-stable,Check package for allergens
1344,"Chocolate Chips, standard package",Baking Supplies,Shelf-stable,Check package for allergens
1345,"Chocolate Chips, small package",Baking Supplies,Shelf-stable,Check package for allergens
1346,"Chocolate Chips, family-size package",Baking Supplies,Shelf-stable,Check package for allergens
1347,"Chocolate Chips, organic",Baking Supplies,Shelf-stable,Check package for allergens
1348,"Chocolate Chips, gluten-free labeled",Baking Supplies,Shelf-stable,Check package for allergens
1349,"Shredded Coconut, standard package",Baking Supplies,Shelf-stable,Check package for allergens
1350,"Shredded Coconut, small package",Baking Supplies,Shelf-stable,Check package for allergens
1351,"Shredded Coconut, family-size package",Baking Supplies,Shelf-stable,Check package for allergens
1352,"Shredded Coconut, organic",Baking Supplies,Shelf-stable,Check package for allergens
1353,"Shredded Coconut, gluten-free labeled",Baking Supplies,Shelf-stable,Check package for allergens
1354,"Raisins, standard package",Baking Supplies,Shelf-stable,Check package for allergens
1355,"Raisins, small package",Baking Supplies,Shelf-stable,Check package for allergens
1356,"Raisins, family-size package",Baking Supplies,Shelf-stable,Check package for allergens
1357,"Raisins, organic",Baking Supplies,Shelf-stable,Check package for allergens
1358,"Raisins, gluten-free labeled",Baking Supplies,Shelf-stable,Check package for allergens
1359,"Dried Cranberries, standard package",Baking Supplies,Shelf-stable,Check package for allergens
1360,"Dried Cranberries, small package",Baking Supplies,Shelf-stable,Check package for allergens
1361,"Dried Cranberries, family-size package",Baking Supplies,Shelf-stable,Check package for allergens
1362,"Dried Cranberries, organic",Baking Supplies,Shelf-stable,Check package for allergens
1363,"Dried Cranberries, gluten-free labeled",Baking Supplies,Shelf-stable,Check package for allergens
1364,"Vegetable Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1365,"Vegetable Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1366,"Vegetable Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1367,"Vegetable Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1368,"Vegetable Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1369,"Canola Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1370,"Canola Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1371,"Canola Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1372,"Canola Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1373,"Canola Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1374,"Olive Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1375,"Olive Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1376,"Olive Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1377,"Olive Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1378,"Olive Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1379,"Extra-Virgin Olive Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1380,"Extra-Virgin Olive Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1381,"Extra-Virgin Olive Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1382,"Extra-Virgin Olive Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1383,"Extra-Virgin Olive Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1384,"Corn Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1385,"Corn Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1386,"Corn Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1387,"Corn Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1388,"Corn Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1389,"Sunflower Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1390,"Sunflower Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1391,"Sunflower Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1392,"Sunflower Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1393,"Sunflower Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1394,"Safflower Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1395,"Safflower Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1396,"Safflower Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1397,"Safflower Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1398,"Safflower Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1399,"Avocado Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1400,"Avocado Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1401,"Avocado Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1402,"Avocado Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1403,"Avocado Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1404,"Coconut Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1405,"Coconut Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1406,"Coconut Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1407,"Coconut Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1408,"Coconut Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1409,"Sesame Oil, small bottle",Cooking Oils,Shelf-stable,Vegetarian
1410,"Sesame Oil, medium bottle",Cooking Oils,Shelf-stable,Vegetarian
1411,"Sesame Oil, family-size bottle",Cooking Oils,Shelf-stable,Vegetarian
1412,"Sesame Oil, spray",Cooking Oils,Shelf-stable,Vegetarian
1413,"Sesame Oil, single-use packets",Cooking Oils,Shelf-stable,Vegetarian
1414,Canned Regular chicken noodle soup,Soups & Broths,Shelf-stable,Varies by item
1415,Canned Low-Sodium chicken noodle soup,Soups & Broths,Shelf-stable,Varies by item
1416,Condensed chicken noodle soup,Soups & Broths,Shelf-stable,Varies by item
1417,Ready-To-Serve Carton chicken noodle soup,Soups & Broths,Shelf-stable,Varies by item
1418,Instant Cup chicken noodle soup,Soups & Broths,Shelf-stable,Varies by item
1419,Canned Regular tomato soup,Soups & Broths,Shelf-stable,Varies by item
1420,Canned Low-Sodium tomato soup,Soups & Broths,Shelf-stable,Varies by item
1421,Condensed tomato soup,Soups & Broths,Shelf-stable,Varies by item
1422,Ready-To-Serve Carton tomato soup,Soups & Broths,Shelf-stable,Varies by item
1423,Instant Cup tomato soup,Soups & Broths,Shelf-stable,Varies by item
1424,Canned Regular vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1425,Canned Low-Sodium vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1426,Condensed vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1427,Ready-To-Serve Carton vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1428,Instant Cup vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1429,Canned Regular lentil soup,Soups & Broths,Shelf-stable,Varies by item
1430,Canned Low-Sodium lentil soup,Soups & Broths,Shelf-stable,Varies by item
1431,Condensed lentil soup,Soups & Broths,Shelf-stable,Varies by item
1432,Ready-To-Serve Carton lentil soup,Soups & Broths,Shelf-stable,Varies by item
1433,Instant Cup lentil soup,Soups & Broths,Shelf-stable,Varies by item
1434,Canned Regular bean soup,Soups & Broths,Shelf-stable,Varies by item
1435,Canned Low-Sodium bean soup,Soups & Broths,Shelf-stable,Varies by item
1436,Condensed bean soup,Soups & Broths,Shelf-stable,Varies by item
1437,Ready-To-Serve Carton bean soup,Soups & Broths,Shelf-stable,Varies by item
1438,Instant Cup bean soup,Soups & Broths,Shelf-stable,Varies by item
1439,Canned Regular minestrone soup,Soups & Broths,Shelf-stable,Varies by item
1440,Canned Low-Sodium minestrone soup,Soups & Broths,Shelf-stable,Varies by item
1441,Condensed minestrone soup,Soups & Broths,Shelf-stable,Varies by item
1442,Ready-To-Serve Carton minestrone soup,Soups & Broths,Shelf-stable,Varies by item
1443,Instant Cup minestrone soup,Soups & Broths,Shelf-stable,Varies by item
1444,Canned Regular cream of mushroom soup,Soups & Broths,Shelf-stable,Varies by item
1445,Canned Low-Sodium cream of mushroom soup,Soups & Broths,Shelf-stable,Varies by item
1446,Condensed cream of mushroom soup,Soups & Broths,Shelf-stable,Varies by item
1447,Ready-To-Serve Carton cream of mushroom soup,Soups & Broths,Shelf-stable,Varies by item
1448,Instant Cup cream of mushroom soup,Soups & Broths,Shelf-stable,Varies by item
1449,Canned Regular cream of chicken soup,Soups & Broths,Shelf-stable,Varies by item
1450,Canned Low-Sodium cream of chicken soup,Soups & Broths,Shelf-stable,Varies by item
1451,Condensed cream of chicken soup,Soups & Broths,Shelf-stable,Varies by item
1452,Ready-To-Serve Carton cream of chicken soup,Soups & Broths,Shelf-stable,Varies by item
1453,Instant Cup cream of chicken soup,Soups & Broths,Shelf-stable,Varies by item
1454,Canned Regular split pea soup,Soups & Broths,Shelf-stable,Varies by item
1455,Canned Low-Sodium split pea soup,Soups & Broths,Shelf-stable,Varies by item
1456,Condensed split pea soup,Soups & Broths,Shelf-stable,Varies by item
1457,Ready-To-Serve Carton split pea soup,Soups & Broths,Shelf-stable,Varies by item
1458,Instant Cup split pea soup,Soups & Broths,Shelf-stable,Varies by item
1459,Canned Regular beef vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1460,Canned Low-Sodium beef vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1461,Condensed beef vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1462,Ready-To-Serve Carton beef vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1463,Instant Cup beef vegetable soup,Soups & Broths,Shelf-stable,Varies by item
1464,Canned Regular clam chowder,Soups & Broths,Shelf-stable,Varies by item
1465,Canned Low-Sodium clam chowder,Soups & Broths,Shelf-stable,Varies by item
1466,Condensed clam chowder,Soups & Broths,Shelf-stable,Varies by item
1467,Ready-To-Serve Carton clam chowder,Soups & Broths,Shelf-stable,Varies by item
1468,Instant Cup clam chowder,Soups & Broths,Shelf-stable,Varies by item
1469,Canned Regular corn chowder,Soups & Broths,Shelf-stable,Varies by item
1470,Canned Low-Sodium corn chowder,Soups & Broths,Shelf-stable,Varies by item
1471,Condensed corn chowder,Soups & Broths,Shelf-stable,Varies by item
1472,Ready-To-Serve Carton corn chowder,Soups & Broths,Shelf-stable,Varies by item
1473,Instant Cup corn chowder,Soups & Broths,Shelf-stable,Varies by item
1474,Canned Regular potato soup,Soups & Broths,Shelf-stable,Varies by item
1475,Canned Low-Sodium potato soup,Soups & Broths,Shelf-stable,Varies by item
1476,Condensed potato soup,Soups & Broths,Shelf-stable,Varies by item
1477,Ready-To-Serve Carton potato soup,Soups & Broths,Shelf-stable,Varies by item
1478,Instant Cup potato soup,Soups & Broths,Shelf-stable,Varies by item
1479,Canned Regular butternut squash soup,Soups & Broths,Shelf-stable,Varies by item
1480,Canned Low-Sodium butternut squash soup,Soups & Broths,Shelf-stable,Varies by item
1481,Condensed butternut squash soup,Soups & Broths,Shelf-stable,Varies by item
1482,Ready-To-Serve Carton butternut squash soup,Soups & Broths,Shelf-stable,Varies by item
1483,Instant Cup butternut squash soup,Soups & Broths,Shelf-stable,Varies by item
1484,Canned Regular black bean soup,Soups & Broths,Shelf-stable,Varies by item
1485,Canned Low-Sodium black bean soup,Soups & Broths,Shelf-stable,Varies by item
1486,Condensed black bean soup,Soups & Broths,Shelf-stable,Varies by item
1487,Ready-To-Serve Carton black bean soup,Soups & Broths,Shelf-stable,Varies by item
1488,Instant Cup black bean soup,Soups & Broths,Shelf-stable,Varies by item
1489,Canned Regular chickpea soup,Soups & Broths,Shelf-stable,Varies by item
1490,Canned Low-Sodium chickpea soup,Soups & Broths,Shelf-stable,Varies by item
1491,Condensed chickpea soup,Soups & Broths,Shelf-stable,Varies by item
1492,Ready-To-Serve Carton chickpea soup,Soups & Broths,Shelf-stable,Varies by item
1493,Instant Cup chickpea soup,Soups & Broths,Shelf-stable,Varies by item
1494,Canned Regular French onion soup,Soups & Broths,Shelf-stable,Varies by item
1495,Canned Low-Sodium French onion soup,Soups & Broths,Shelf-stable,Varies by item
1496,Condensed French onion soup,Soups & Broths,Shelf-stable,Varies by item
1497,Ready-To-Serve Carton French onion soup,Soups & Broths,Shelf-stable,Varies by item
1498,Instant Cup French onion soup,Soups & Broths,Shelf-stable,Varies by item
1499,Canned Regular broccoli cheddar soup,Soups & Broths,Shelf-stable,Varies by item
1500,Canned Low-Sodium broccoli cheddar soup,Soups & Broths,Shelf-stable,Varies by item
1501,Condensed broccoli cheddar soup,Soups & Broths,Shelf-stable,Varies by item
1502,Ready-To-Serve Carton broccoli cheddar soup,Soups & Broths,Shelf-stable,Varies by item
1503,Instant Cup broccoli cheddar soup,Soups & Broths,Shelf-stable,Varies by item
1504,Canned Regular chicken rice soup,Soups & Broths,Shelf-stable,Varies by item
1505,Canned Low-Sodium chicken rice soup,Soups & Broths,Shelf-stable,Varies by item
1506,Condensed chicken rice soup,Soups & Broths,Shelf-stable,Varies by item
1507,Ready-To-Serve Carton chicken rice soup,Soups & Broths,Shelf-stable,Varies by item
1508,Instant Cup chicken rice soup,Soups & Broths,Shelf-stable,Varies by item
1509,Canned Regular turkey rice soup,Soups & Broths,Shelf-stable,Varies by item
1510,Canned Low-Sodium turkey rice soup,Soups & Broths,Shelf-stable,Varies by item
1511,Condensed turkey rice soup,Soups & Broths,Shelf-stable,Varies by item
1512,Ready-To-Serve Carton turkey rice soup,Soups & Broths,Shelf-stable,Varies by item
1513,Instant Cup turkey rice soup,Soups & Broths,Shelf-stable,Varies by item
1514,Canned Regular miso soup,Soups & Broths,Shelf-stable,Varies by item
1515,Canned Low-Sodium miso soup,Soups & Broths,Shelf-stable,Varies by item
1516,Condensed miso soup,Soups & Broths,Shelf-stable,Varies by item
1517,Ready-To-Serve Carton miso soup,Soups & Broths,Shelf-stable,Varies by item
1518,Instant Cup miso soup,Soups & Broths,Shelf-stable,Varies by item
1519,Canned Regular hot and sour soup,Soups & Broths,Shelf-stable,Varies by item
1520,Canned Low-Sodium hot and sour soup,Soups & Broths,Shelf-stable,Varies by item
1521,Condensed hot and sour soup,Soups & Broths,Shelf-stable,Varies by item
1522,Ready-To-Serve Carton hot and sour soup,Soups & Broths,Shelf-stable,Varies by item
1523,Instant Cup hot and sour soup,Soups & Broths,Shelf-stable,Varies by item
1524,Canned Regular tortilla soup,Soups & Broths,Shelf-stable,Varies by item
1525,Canned Low-Sodium tortilla soup,Soups & Broths,Shelf-stable,Varies by item
1526,Condensed tortilla soup,Soups & Broths,Shelf-stable,Varies by item
1527,Ready-To-Serve Carton tortilla soup,Soups & Broths,Shelf-stable,Varies by item
1528,Instant Cup tortilla soup,Soups & Broths,Shelf-stable,Varies by item
1529,Canned Regular pasta e fagioli,Soups & Broths,Shelf-stable,Varies by item
1530,Canned Low-Sodium pasta e fagioli,Soups & Broths,Shelf-stable,Varies by item
1531,Condensed pasta e fagioli,Soups & Broths,Shelf-stable,Varies by item
1532,Ready-To-Serve Carton pasta e fagioli,Soups & Broths,Shelf-stable,Varies by item
1533,Instant Cup pasta e fagioli,Soups & Broths,Shelf-stable,Varies by item
1534,Canned Regular cabbage soup,Soups & Broths,Shelf-stable,Varies by item
1535,Canned Low-Sodium cabbage soup,Soups & Broths,Shelf-stable,Varies by item
1536,Condensed cabbage soup,Soups & Broths,Shelf-stable,Varies by item
1537,Ready-To-Serve Carton cabbage soup,Soups & Broths,Shelf-stable,Varies by item
1538,Instant Cup cabbage soup,Soups & Broths,Shelf-stable,Varies by item
1539,Regular Carton chicken broth,Broths & Stocks,Shelf-stable,Varies by item
1540,Low-Sodium Carton chicken broth,Broths & Stocks,Shelf-stable,Varies by item
1541,Canned chicken broth,Broths & Stocks,Shelf-stable,Varies by item
1542,Bouillon Cubes chicken broth,Broths & Stocks,Shelf-stable,Varies by item
1543,Powdered Mix chicken broth,Broths & Stocks,Shelf-stable,Varies by item
1544,Regular Carton beef broth,Broths & Stocks,Shelf-stable,Varies by item
1545,Low-Sodium Carton beef broth,Broths & Stocks,Shelf-stable,Varies by item
1546,Canned beef broth,Broths & Stocks,Shelf-stable,Varies by item
1547,Bouillon Cubes beef broth,Broths & Stocks,Shelf-stable,Varies by item
1548,Powdered Mix beef broth,Broths & Stocks,Shelf-stable,Varies by item
1549,Regular Carton vegetable broth,Broths & Stocks,Shelf-stable,Varies by item
1550,Low-Sodium Carton vegetable broth,Broths & Stocks,Shelf-stable,Varies by item
1551,Canned vegetable broth,Broths & Stocks,Shelf-stable,Varies by item
1552,Bouillon Cubes vegetable broth,Broths & Stocks,Shelf-stable,Varies by item
1553,Powdered Mix vegetable broth,Broths & Stocks,Shelf-stable,Varies by item
1554,Regular Carton bone broth,Broths & Stocks,Shelf-stable,Varies by item
1555,Low-Sodium Carton bone broth,Broths & Stocks,Shelf-stable,Varies by item
1556,Canned bone broth,Broths & Stocks,Shelf-stable,Varies by item
1557,Bouillon Cubes bone broth,Broths & Stocks,Shelf-stable,Varies by item
1558,Powdered Mix bone broth,Broths & Stocks,Shelf-stable,Varies by item
1559,Regular Carton seafood stock,Broths & Stocks,Shelf-stable,Varies by item
1560,Low-Sodium Carton seafood stock,Broths & Stocks,Shelf-stable,Varies by item
1561,Canned seafood stock,Broths & Stocks,Shelf-stable,Varies by item
1562,Bouillon Cubes seafood stock,Broths & Stocks,Shelf-stable,Varies by item
1563,Powdered Mix seafood stock,Broths & Stocks,Shelf-stable,Varies by item
1564,Regular Carton mushroom broth,Broths & Stocks,Shelf-stable,Varies by item
1565,Low-Sodium Carton mushroom broth,Broths & Stocks,Shelf-stable,Varies by item
1566,Canned mushroom broth,Broths & Stocks,Shelf-stable,Varies by item
1567,Bouillon Cubes mushroom broth,Broths & Stocks,Shelf-stable,Varies by item
1568,Powdered Mix mushroom broth,Broths & Stocks,Shelf-stable,Varies by item
1569,"Tuna In Water, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1570,"Tuna In Water, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1571,"Tuna In Water, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1572,"Tuna In Water, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1573,"Tuna In Water, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1574,"Tuna In Oil, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1575,"Tuna In Oil, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1576,"Tuna In Oil, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1577,"Tuna In Oil, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1578,"Tuna In Oil, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1579,"Salmon, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1580,"Salmon, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1581,"Salmon, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1582,"Salmon, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1583,"Salmon, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1584,"Chicken Breast, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1585,"Chicken Breast, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1586,"Chicken Breast, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1587,"Chicken Breast, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1588,"Chicken Breast, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1589,"Turkey, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1590,"Turkey, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1591,"Turkey, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1592,"Turkey, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1593,"Turkey, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1594,"Sardines, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1595,"Sardines, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1596,"Sardines, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1597,"Sardines, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1598,"Sardines, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1599,"Mackerel, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1600,"Mackerel, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1601,"Mackerel, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1602,"Mackerel, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1603,"Mackerel, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1604,"Ham, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1605,"Ham, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1606,"Ham, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1607,"Ham, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1608,"Ham, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1609,"Roast Beef, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1610,"Roast Beef, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1611,"Roast Beef, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1612,"Roast Beef, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1613,"Roast Beef, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1614,"Corned Beef, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1615,"Corned Beef, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1616,"Corned Beef, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1617,"Corned Beef, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1618,"Corned Beef, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1619,"Luncheon Meat, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1620,"Luncheon Meat, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1621,"Luncheon Meat, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1622,"Luncheon Meat, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1623,"Luncheon Meat, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1624,"Vienna Sausages, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1625,"Vienna Sausages, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1626,"Vienna Sausages, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1627,"Vienna Sausages, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1628,"Vienna Sausages, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1629,"Anchovies, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1630,"Anchovies, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1631,"Anchovies, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1632,"Anchovies, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1633,"Anchovies, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1634,"Smoked Oysters, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1635,"Smoked Oysters, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1636,"Smoked Oysters, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1637,"Smoked Oysters, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1638,"Smoked Oysters, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1639,"Crab Meat, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1640,"Crab Meat, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1641,"Crab Meat, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1642,"Crab Meat, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1643,"Crab Meat, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1644,"Shrimp, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1645,"Shrimp, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1646,"Shrimp, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1647,"Shrimp, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1648,"Shrimp, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1649,"Chili With Beef, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1650,"Chili With Beef, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1651,"Chili With Beef, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1652,"Chili With Beef, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1653,"Chili With Beef, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1654,"Chili With Turkey, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1655,"Chili With Turkey, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1656,"Chili With Turkey, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1657,"Chili With Turkey, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1658,"Chili With Turkey, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1659,"Chicken Stew, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1660,"Chicken Stew, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1661,"Chicken Stew, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1662,"Chicken Stew, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1663,"Chicken Stew, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1664,"Beef Stew, standard can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1665,"Beef Stew, easy-open can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1666,"Beef Stew, low-sodium",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1667,"Beef Stew, single-serve pouch",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
1668,"Beef Stew, family-size can",Shelf-Stable Proteins,Shelf-stable,Contains animal protein
